MOVIE_ID|GENRE_ID
1|1
1|2
1|3
1|4
2|2
2|3
2|1
3|1
3|2
3|5
4|1
4|5
4|6
4|7
5|1
5|2
5|4
6|3
6|1
6|2
7|8
7|9
8|1
8|2
8|4
9|2
9|3
9|9
10|1
10|2
10|3
11|2
11|3
11|1
11|4
12|2
12|1
12|7
12|5
13|2
13|3
13|1
14|1
14|2
14|10
15|1
15|2
15|3
15|4
16|2
16|9
16|3
17|4
17|1
17|2
18|2
18|1
18|3
19|1
19|11
19|4
20|1
20|2
20|3
21|1
21|2
21|3
22|1
22|2
23|2
23|3
24|2
24|3
25|2
25|6
25|1
26|6
26|12
26|7
27|2
27|1
27|4
28|7
28|1
28|2
28|4
29|1
29|2
29|4
29|7
30|1
30|2
30|7
31|1
31|2
31|3
32|1
32|2
32|4
33|9
33|3
33|2
34|2
34|1
34|4
34|7
35|8
35|9
36|4
36|1
36|2
37|4
37|1
37|2
38|3
38|2
38|9
39|1
39|2
39|3
40|2
40|1
40|4
41|8
41|9
41|2
41|11
42|2
42|1
42|7
42|4
43|8
43|9
43|11
44|1
44|4
44|7
45|1
46|1
46|6
46|13
46|4
46|7
47|1
47|2
47|3
47|4
48|1
48|2
48|4
49|1
49|9
49|3
50|6
50|12
51|2
51|3
51|1
51|12
52|1
52|4
52|2
53|1
53|4
53|2
54|2
54|1
55|2
55|8
55|9
56|8
56|2
56|11
56|9
56|1
56|3
57|1
57|2
57|4
58|8
58|9
59|1
59|11
59|5
59|7
60|1
60|2
60|4
61|8
61|6
62|4
62|3
62|1
62|2
63|1
63|2
64|2
64|9
64|3
65|4
66|6
66|1
66|5
66|7
67|8
67|11
67|9
67|2
68|8
68|9
68|2
68|4
69|1
69|4
69|2
70|2
70|6
70|9
71|1
71|2
71|11
71|4
71|10
72|2
72|1
72|3
73|1
73|2
73|5
73|3
73|4
74|3
74|11
74|9
75|1
75|4
76|2
76|1
77|2
77|1
77|7
77|4
78|6
78|11
78|8
78|9
79|9
79|2
79|6
79|3
80|2
80|1
80|4
81|2
81|3
81|6
82|3
82|2
82|1
82|9
82|12
83|4
83|1
83|6
83|7
84|1
84|2
84|4
84|12
85|6
85|1
85|2
85|3
86|1
86|2
86|4
87|11
87|2
87|3
87|8
87|9
88|2
88|9
88|14
88|4
89|2
89|9
89|8
89|1
89|11
90|9
90|8
90|11
90|2
91|2
91|8
91|9
91|3
92|1
92|2
92|4
93|3
93|2
93|8
93|9
94|1
94|7
94|4
95|1
95|4
95|2
96|2
96|6
96|4
97|1
97|7
97|4
97|14
97|2
98|1
98|2
98|6
98|13
98|4
99|2
99|3
99|1
100|1
100|5
100|7
101|3
101|6
101|7
101|14
101|12
102|1
102|4
102|2
103|1
103|2
103|4
104|3
104|2
104|1
104|11
104|6
105|2
105|1
105|6
105|7
106|3
107|3
107|2
107|8
107|11
107|9
108|1
108|2
108|3
109|4
109|1
109|7
109|2
110|2
110|9
110|3
111|15
111|12
111|16
112|2
112|4
112|1
113|16
113|15
113|1
113|2
113|6
113|12
114|2
114|3
114|9
114|14
115|2
115|3
115|9
116|3
116|1
117|6
117|13
117|1
117|7
117|4
118|2
118|11
118|9
118|3
119|8
119|11
119|9
119|3
120|1
120|5
120|6
121|9
121|8
122|2
122|3
122|1
122|11
122|9
123|2
123|1
123|7
123|4
124|2
124|1
124|7
124|4
125|8
125|2
125|9
126|2
126|1
126|7
126|4
127|1
127|2
127|3
128|1
128|2
128|4
128|7
129|7
129|14
130|2
130|3
130|1
131|8
131|9
131|2
131|11
132|3
132|1
132|2
132|9
132|11
133|2
134|11
134|3
135|1
135|2
135|7
136|6
136|13
136|7
137|9
137|8
137|2
137|11
138|8
138|9
139|1
139|2
139|9
139|3
140|2
140|1
140|7
141|1
141|6
141|7
142|2
142|8
142|9
143|2
143|8
143|11
143|9
144|2
144|9
144|3
145|8
145|2
145|9
146|2
146|6
146|16
147|8
147|9
148|2
148|1
148|7
149|1
149|3
149|11
150|1
150|7
150|4
150|2
151|1
151|2
151|11
151|4
152|2
152|1
152|8
153|1
153|2
153|8
153|11
153|9
154|1
154|7
154|2
155|3
155|8
155|9
156|11
157|6
157|1
157|16
157|15
158|2
158|6
158|1
159|4
159|1
159|2
160|3
160|1
161|3
161|1
161|2
161|8
161|11
161|9
162|3
163|1
164|1
164|14
164|4
165|1
165|2
165|11
165|5
165|7
166|6
166|1
166|4
167|2
167|1
167|4
167|7
168|1
168|2
168|11
168|6
168|14
169|2
169|1
169|8
169|3
169|4
169|7
170|1
170|2
170|4
171|2
171|1
171|7
172|2
173|2
173|3
173|6
173|12
174|8
174|11
174|9
175|4
175|1
175|2
176|2
176|9
176|3
177|10
177|6
177|2
177|7
178|8
178|9
179|8
179|11
179|9
179|10
179|2
180|9
180|8
180|2
180|11
181|1
181|6
181|14
181|7
182|2
182|8
182|9
182|11
183|4
183|1
183|2
184|2
184|1
184|4
185|3
185|11
185|8
185|4
185|9
186|2
186|7
186|4
187|2
187|1
187|11
187|7
187|5
188|1
188|2
188|8
188|9
188|3
189|1
189|14
189|7
190|6
190|2
191|2
191|8
191|14
192|2
192|3
192|9
193|6
194|4
194|1
194|2
195|8
195|9
196|2
196|11
196|3
196|9
197|8
197|1
197|11
197|9
197|4
198|2
198|3
198|9
199|3
199|1
199|11
199|5
200|2
200|3
200|1
201|4
201|2
201|7
202|7
202|14
203|8
203|2
203|11
203|9
204|2
204|1
204|4
204|7
205|1
205|7
205|5
206|2
206|1
206|5
206|14
207|2
207|3
207|1
208|1
208|2
208|4
209|2
209|3
209|1
210|1
210|7
211|1
211|5
211|3
212|9
212|11
212|3
213|1
213|2
213|4
213|7
214|2
214|1
214|7
215|6
216|2
216|3
216|1
216|7
217|2
217|6
217|1
218|7
218|1
218|3
218|13
219|1
219|7
220|1
220|2
220|11
221|4
221|2
221|14
222|9
222|2
222|8
222|11
223|4
223|1
223|6
223|7
224|1
224|4
225|1
225|4
226|1
226|9
226|4
227|11
227|6
227|12
228|1
228|11
229|1
229|4
229|2
229|14
230|4
230|2
230|1
231|2
231|1
231|4
232|8
232|11
232|9
233|1
233|4
233|2
233|3
234|2
234|1
234|4
235|2
235|8
235|11
235|9
235|3
236|3
236|2
236|11
236|9
237|6
237|1
237|15
237|16
238|1
238|2
238|6
239|4
239|1
239|2
239|3
239|11
240|4
240|7
240|6
241|1
241|2
241|7
242|3
242|1
242|2
242|11
243|1
243|2
243|4
244|1
244|2
244|11
244|9
244|3
245|1
245|6
245|7
246|2
246|1
246|7
247|6
247|15
247|16
247|1
248|7
248|5
249|1
249|11
249|6
249|7
250|2
250|4
250|7
251|6
252|11
253|1
253|5
253|11
254|1
254|16
255|8
255|9
255|2
255|11
255|3
256|8
256|9
257|2
257|4
258|1
258|4
258|6
259|3
259|9
259|11
259|8
260|1
260|2
260|7
261|4
261|1
261|2
262|1
262|7
263|2
263|3
263|1
264|1
264|2
264|11
265|6
266|11
266|3
266|9
267|1
267|4
268|6
268|1
268|2
268|15
268|16
269|8
269|3
269|9
269|11
270|12
270|9
270|8
270|17
271|6
271|2
271|4
272|1
272|7
272|4
272|2
273|11
273|12
274|1
274|5
274|7
275|1
275|6
275|2
276|1
276|7
276|4
276|14
277|2
277|3
277|9
278|2
278|1
278|7
279|7
279|4
279|1
279|2
280|1
280|7
280|4
281|15
281|5
281|6
282|6
282|5
283|1
283|7
284|7
284|6
284|5
285|11
285|12
286|1
286|11
286|5
287|1
287|6
287|14
287|7
288|6
288|10
289|6
289|8
289|9
290|2
290|8
290|11
290|9
290|3
291|1
291|2
291|7
292|2
292|1
292|7
292|14
293|3
293|1
293|2
293|9
294|9
294|3
295|8
295|2
295|9
295|3
296|1
296|7
296|12
297|1
297|3
297|13
297|14
298|6
298|7
298|1
299|5
299|6
299|11
300|1
300|5
300|3
301|2
301|1
301|7
301|4
302|6
302|4
303|8
303|2
303|9
303|3
304|1
304|5
305|1
305|2
306|2
306|8
306|9
306|3
306|4
307|2
307|11
307|4
308|1
308|2
308|7
309|1
309|5
309|7
310|3
310|11
310|9
310|2
311|7
311|6
311|2
311|1
311|15
312|1
312|11
312|4
313|16
313|1
313|2
313|6
313|7
314|8
315|5
315|6
315|14
315|7
316|2
316|1
316|3
317|6
317|15
317|5
318|6
318|15
318|16
319|8
319|11
319|9
320|1
320|11
320|4
321|1
321|15
321|16
322|11
323|2
323|3
323|1
323|7
323|4
324|11
324|6
324|12
325|2
325|8
325|11
325|9
326|8
326|11
326|2
326|9
327|12
327|3
327|9
327|6
328|3
328|6
329|8
329|9
330|2
330|3
330|1
331|2
331|3
331|1
332|2
332|3
333|2
333|3
333|1
333|7
334|7
334|4
334|6
334|14
335|2
335|1
335|7
335|4
336|7
336|1
336|6
336|4
337|2
337|9
337|3
338|1
338|7
339|10
339|15
339|16
340|1
340|2
340|8
340|9
341|1
341|2
342|2
342|3
342|9
343|1
343|2
343|11
343|4
344|8
344|11
344|9
345|1
345|7
346|1
346|11
346|5
346|7
347|6
347|13
347|14
347|7
348|8
348|11
348|9
349|8
349|11
349|9
349|2
350|2
350|11
350|6
350|3
351|1
351|2
351|11
351|5
351|7
352|6
352|7
352|5
353|8
353|9
353|2
354|1
354|11
355|7
355|5
355|14
355|6
356|1
356|7
357|1
357|2
357|5
357|14
358|6
359|8
359|9
359|2
359|4
360|2
360|8
360|11
360|9
361|6
361|7
361|15
361|16
362|11
362|1
363|1
363|11
363|4
364|6
364|4
364|2
365|7
365|3
365|11
365|9
365|14
366|6
366|4
366|14
367|1
367|4
367|7
368|5
368|7
369|2
369|9
369|3
370|1
370|2
370|3
370|7
371|1
371|2
371|11
371|5
371|14
371|7
372|7
372|1
372|12
372|4
372|2
373|1
373|5
373|7
374|4
375|8
375|2
375|11
375|9
376|11
376|4
377|4
377|1
377|6
377|7
378|5
378|7
378|6
379|6
379|15
379|7
380|2
380|3
380|1
381|12
381|6
381|15
382|3
382|1
382|9
383|6
383|15
384|1
384|2
384|6
385|2
385|6
386|8
386|11
387|1
387|6
387|7
388|1
388|7
389|7
389|5
390|2
390|1
390|7
391|8
391|11
391|9
391|3
392|11
392|9
392|3
392|12
393|1
393|7
394|11
394|9
395|1
395|11
396|11
396|12
397|1
397|6
397|7
398|11
398|12
399|5
399|7
400|2
400|8
400|9
401|2
401|1
401|4
402|16
403|2
403|1
403|11
403|7
404|2
404|3
404|1
404|11
404|9
405|6
405|15
405|12
406|1
406|5
406|6
406|7
407|6
407|8
407|9
407|11
408|3
408|6
408|14
409|1
409|7
409|6
410|6
410|17
411|2
411|3
411|6
411|11
411|4
411|9
412|1
412|2
412|11
413|1
413|7
413|2
413|4
414|3
414|11
414|12
414|4
415|14
415|2
415|11
416|1
416|4
417|11
417|6
417|3
417|12
418|13
418|11
418|3
419|11
419|9
420|2
420|3
420|4
421|2
421|3
421|4
422|5
422|6
422|14
422|7
423|4
424|3
424|11
425|7
425|2
425|1
426|2
426|1
426|7
427|4
427|2
427|3
428|11
429|1
429|3
430|11
430|8
430|9
431|8
431|9
432|11
432|9
432|3
433|1
433|6
433|12
434|1
434|11
434|5
434|7
435|11
435|6
436|11
436|3
436|9
436|17
436|8
437|11
438|1
438|11
438|7
439|6
439|11
439|12
440|6
440|7
440|14
441|11
441|12
441|6
442|8
442|11
442|9
442|4
443|1
443|5
443|4
443|7
444|3
444|11
444|9
444|12
445|7
445|5
445|6
446|12
446|11
447|1
447|7
447|5
448|14
448|7
448|1
449|6
450|1
450|7
450|4
451|11
451|9
451|4
452|13
452|7
452|3
452|14
453|8
453|11
453|6
453|9
453|3
454|1
454|11
454|5
454|14
454|9
455|6
455|4
455|7
456|1
456|6
456|14
456|7
457|16
457|6
457|1
458|1
458|2
458|11
458|12
459|11
459|9
459|8
459|2
460|10
460|8
460|2
460|11
460|9
461|11
461|12
461|9
462|2
462|9
462|4
463|6
463|7
463|14
464|12
464|6
465|8
465|11
465|9
466|8
466|9
466|17
467|4
467|2
467|1
468|1
468|2
468|9
468|3
469|1
469|5
469|7
470|1
470|2
471|6
471|3
471|12
472|11
472|3
472|12
473|2
473|3
473|1
473|11
473|7
474|11
474|3
474|4
475|14
475|6
475|13
476|1
476|2
476|6
477|1
477|4
477|7
478|6
478|7
479|1
479|2
479|7
480|8
480|9
480|2
481|1
481|4
481|16
482|8
482|11
482|9
483|6
483|17
483|12
484|1
484|2
484|4
485|6
485|2
486|2
486|11
486|6
486|9
486|3
487|3
487|1
487|2
488|7
488|1
488|4
489|2
489|3
489|8
489|9
490|18
490|9
491|7
491|4
491|2
491|1
492|1
492|2
492|15
492|12
492|6
493|11
493|8
494|6
494|12
495|9
495|8
495|6
496|2
496|1
496|4
497|8
497|9
497|11
498|5
498|7
498|13
499|10
499|2
500|11
501|1
501|5
501|7
502|2
502|8
502|3
503|4
503|7
504|1
504|2
504|8
504|11
504|9
505|8
505|9
506|3
506|1
506|7
506|4
507|8
507|11
507|9
508|1
508|2
508|4
509|2
509|1
509|4
510|9
510|8
511|6
511|1
511|7
511|4
